id;code1;libelle1;code2;libelle2;note
0316917285;001;FRANCAIS ECR.; ;;10
0316917300;001;FRANCAIS ECR.; ;;9
0316917451;001;FRANCAIS ECR.; ;;15
0316917472;001;FRANCAIS ECR.; ;;10
0316917611;001;FRANCAIS ECR.; ;;8
0316917906;001;FRANCAIS ECR.; ;;5
0316917924;001;FRANCAIS ECR.; ;;7
0316918131;001;FRANCAIS ECR.; ;;6
0316918283;001;FRANCAIS ECR.; ;;7
0316918432;001;FRANCAIS ECR.; ;;6
0316918536;001;FRANCAIS ECR.; ;;8
0316918586;001;FRANCAIS ECR.; ;;8
0316918643;001;FRANCAIS ECR.; ;;10
0316918646;001;FRANCAIS ECR.; ;;9
0316918739;001;FRANCAIS ECR.; ;;8
0316919277;001;FRANCAIS ECR.; ;;11
0316919387;001;FRANCAIS ECR.; ;;12
0316919439;001;FRANCAIS ECR.; ;;8
0316919453;001;FRANCAIS ECR.; ;;5
0316919608;001;FRANCAIS ECR.; ;;11
0316919866;001;FRANCAIS ECR.; ;;8
0316919973;001;FRANCAIS ECR.; ;;6
0316920164;001;FRANCAIS ECR.; ;;9
0516043637;001;FRANCAIS ECR.; ;;12
0516043670;001;FRANCAIS ECR.; ;;18
0516059408;001;FRANCAIS ECR.; ;;8
0516187649;001;FRANCAIS ECR.; ;;8
0316653323;001;FRANCAIS ECR.; ;;11
0316914538;001;FRANCAIS ECR.; ;;9
0316915067;001;FRANCAIS ECR.; ;;8
0316915152;001;FRANCAIS ECR.; ;;11
0316916847;001;FRANCAIS ECR.; ;;11
0316917497;001;FRANCAIS ECR.; ;;7
0316918402;001;FRANCAIS ECR.; ;;8
0316918413;001;FRANCAIS ECR.; ;;8
0316919767;001;FRANCAIS ECR.; ;;9
0316522255;001;FRANCAIS ECR.; ;;6
0316653074;001;FRANCAIS ECR.; ;;7
0316653112;001;FRANCAIS ECR.; ;;12
0316653148;001;FRANCAIS ECR.; ;;8
0316653209;001;FRANCAIS ECR.; ;;4
0316653311;001;FRANCAIS ECR.; ;;6
0316653394;001;FRANCAIS ECR.; ;;11
0316654029;001;FRANCAIS ECR.; ;;7
0316654353;001;FRANCAIS ECR.; ;;7
0316654662;001;FRANCAIS ECR.; ;;10
0316655139;001;FRANCAIS ECR.; ;;6
0316655835;001;FRANCAIS ECR.; ;;13
0316655921;001;FRANCAIS ECR.; ;;7
0316656669;001;FRANCAIS ECR.; ;;9
0316656720;001;FRANCAIS ECR.; ;;6
0316658498;001;FRANCAIS ECR.; ;;6
0316659144;001;FRANCAIS ECR.; ;;9
0316659482;001;FRANCAIS ECR.; ;;3
0316913758;001;FRANCAIS ECR.; ;;8
0316913904;001;FRANCAIS ECR.; ;;6
0316913941;001;FRANCAIS ECR.; ;;10
0316913956;001;FRANCAIS ECR.; ;;8
0316914005;001;FRANCAIS ECR.; ;;10
0316914038;001;FRANCAIS ECR.; ;;7
0316914065;001;FRANCAIS ECR.; ;;12
0316914278;001;FRANCAIS ECR.; ;;13
0316914414;001;FRANCAIS ECR.; ;;10
0316914428;001;FRANCAIS ECR.; ;;9
0316914446;001;FRANCAIS ECR.; ;;7
0316914481;001;FRANCAIS ECR.; ;;11
0316914586;001;FRANCAIS ECR.; ;;7
0316914679;001;FRANCAIS ECR.; ;;10
0316914685;001;FRANCAIS ECR.; ;;13
0316914828;001;FRANCAIS ECR.; ;;15
0316914930;001;FRANCAIS ECR.; ;;10
0316914959;001;FRANCAIS ECR.; ;;6
0316914979;001;FRANCAIS ECR.; ;;6
0316914988;001;FRANCAIS ECR.; ;;8
0316914997;001;FRANCAIS ECR.; ;;10
0316915064;001;FRANCAIS ECR.; ;;6
0316915065;001;FRANCAIS ECR.; ;;6
0316915082;001;FRANCAIS ECR.; ;;10
0316915285;001;FRANCAIS ECR.; ;;6
0316915347;001;FRANCAIS ECR.; ;;11
0316915355;001;FRANCAIS ECR.; ;;7
0316915495;001;FRANCAIS ECR.; ;;5
0316915614;001;FRANCAIS ECR.; ;;12
0316915621;001;FRANCAIS ECR.; ;;11
0316915692;001;FRANCAIS ECR.; ;;11
0316915764;001;FRANCAIS ECR.; ;;8
0316915913;001;FRANCAIS ECR.; ;;8
0316916034;001;FRANCAIS ECR.; ;;8
0316916065;001;FRANCAIS ECR.; ;;10
0316916076;001;FRANCAIS ECR.; ;;9
0316916213;001;FRANCAIS ECR.; ;;8
0316916225;001;FRANCAIS ECR.; ;;9
0316916287;001;FRANCAIS ECR.; ;;9
0316916297;001;FRANCAIS ECR.; ;;9
0316916380;001;FRANCAIS ECR.; ;;10
0316916471;001;FRANCAIS ECR.; ;;13
0316916477;001;FRANCAIS ECR.; ;;6
0316916540;001;FRANCAIS ECR.; ;;13
0316916622;001;FRANCAIS ECR.; ;;11
0316916941;001;FRANCAIS ECR.; ;;6
0316916985;001;FRANCAIS ECR.; ;;8
0316916993;001;FRANCAIS ECR.; ;;10
0316917062;001;FRANCAIS ECR.; ;;9
0316917231;001;FRANCAIS ECR.; ;;6
0316917253;001;FRANCAIS ECR.; ;;7
0316917303;001;FRANCAIS ECR.; ;;5
0316917310;001;FRANCAIS ECR.; ;;13
0316917338;001;FRANCAIS ECR.; ;;16
0316917454;001;FRANCAIS ECR.; ;;10
0316917507;001;FRANCAIS ECR.; ;;5
0316917529;001;FRANCAIS ECR.; ;;7
0316917537;001;FRANCAIS ECR.; ;;12
0316917555;001;FRANCAIS ECR.; ;;4
0316917583;001;FRANCAIS ECR.; ;;14
0316917595;001;FRANCAIS ECR.; ;;8
0316917621;001;FRANCAIS ECR.; ;;12
0316917627;001;FRANCAIS ECR.; ;;9
0316917645;001;FRANCAIS ECR.; ;;5
0316917658;001;FRANCAIS ECR.; ;;11
0316917693;001;FRANCAIS ECR.; ;;7
0316917716;001;FRANCAIS ECR.; ;;8
0316917747;001;FRANCAIS ECR.; ;;8
0316917828;001;FRANCAIS ECR.; ;;9
0316917838;001;FRANCAIS ECR.; ;;8
0316917992;001;FRANCAIS ECR.; ;;8
0316918099;001;FRANCAIS ECR.; ;;12
0316918169;001;FRANCAIS ECR.; ;;9
0316918179;001;FRANCAIS ECR.; ;;7
0316918180;001;FRANCAIS ECR.; ;;8
0316918206;001;FRANCAIS ECR.; ;;8
0316918228;001;FRANCAIS ECR.; ;;10
0316918240;001;FRANCAIS ECR.; ;;10
0316918395;001;FRANCAIS ECR.; ;;6
0316918428;001;FRANCAIS ECR.; ;;7
0316918487;001;FRANCAIS ECR.; ;;10
0316918488;001;FRANCAIS ECR.; ;;9
0316918491;001;FRANCAIS ECR.; ;;7
0316918506;001;FRANCAIS ECR.; ;;10
0316918511;001;FRANCAIS ECR.; ;;8
0316918537;001;FRANCAIS ECR.; ;;3
0316918576;001;FRANCAIS ECR.; ;;8
0316918735;001;FRANCAIS ECR.; ;;9
0316918800;001;FRANCAIS ECR.; ;;12
0316918928;001;FRANCAIS ECR.; ;;13
0316918961;001;FRANCAIS ECR.; ;;9
0316919113;001;FRANCAIS ECR.; ;;10
0316919399;001;FRANCAIS ECR.; ;;7
0316919481;001;FRANCAIS ECR.; ;;7
0316919522;001;FRANCAIS ECR.; ;;8
0316919675;001;FRANCAIS ECR.; ;;10
0316919678;001;FRANCAIS ECR.; ;;7
0316919927;001;FRANCAIS ECR.; ;;7
0316919960;001;FRANCAIS ECR.; ;;10
0316919979;001;FRANCAIS ECR.; ;;6
0316919982;001;FRANCAIS ECR.; ;;7
0316920061;001;FRANCAIS ECR.; ;;9
0316920075;001;FRANCAIS ECR.; ;;13
0516043686;001;FRANCAIS ECR.; ;;10
0516187659;001;FRANCAIS ECR.; ;;12
0516187660;001;FRANCAIS ECR.; ;;10
0516187663;001;FRANCAIS ECR.; ;;5
0516187670;001;FRANCAIS ECR.; ;;10
0516188037;001;FRANCAIS ECR.; ;;12
0316656777;001;FRANCAIS ECR.; ;;9
0316657824;001;FRANCAIS ECR.; ;;9
0316658006;001;FRANCAIS ECR.; ;;8
0316914171;001;FRANCAIS ECR.; ;;16
0316914410;001;FRANCAIS ECR.; ;;9
0316915420;001;FRANCAIS ECR.; ;;11
0316915716;001;FRANCAIS ECR.; ;;9
0316915873;001;FRANCAIS ECR.; ;;11
0316916228;001;FRANCAIS ECR.; ;;7
0316916288;001;FRANCAIS ECR.; ;;10
0316916385;001;FRANCAIS ECR.; ;;11
0316916609;001;FRANCAIS ECR.; ;;7
0316916683;001;FRANCAIS ECR.; ;;10
0316916784;001;FRANCAIS ECR.; ;;12
0316916949;001;FRANCAIS ECR.; ;;13
0316917426;001;FRANCAIS ECR.; ;;5
0316917760;001;FRANCAIS ECR.; ;;11
0316918172;001;FRANCAIS ECR.; ;;6
0316918306;001;FRANCAIS ECR.; ;;10
0316918313;001;FRANCAIS ECR.; ;;10
0316918348;001;FRANCAIS ECR.; ;;10
0316918677;001;FRANCAIS ECR.; ;;11
0316918706;001;FRANCAIS ECR.; ;;11
0316918796;001;FRANCAIS ECR.; ;;13
0316918798;001;FRANCAIS ECR.; ;;9
0316919020;001;FRANCAIS ECR.; ;;12
0316919172;001;FRANCAIS ECR.; ;;11
0316919241;001;FRANCAIS ECR.; ;;11
0316919760;001;FRANCAIS ECR.; ;;10
0316920203;001;FRANCAIS ECR.; ;;7
0316248699;001;FRANCAIS ECR.; ;;12
0316521988;001;FRANCAIS ECR.; ;;10
0316523419;001;FRANCAIS ECR.; ;;12
0316525012;001;FRANCAIS ECR.; ;;12
0316525362;001;FRANCAIS ECR.; ;;8
0316527748;001;FRANCAIS ECR.; ;;12
0316528024;001;FRANCAIS ECR.; ;;9
0316653043;001;FRANCAIS ECR.; ;;8
0316653046;001;FRANCAIS ECR.; ;;7
0316653065;001;FRANCAIS ECR.; ;;9
0316653119;001;FRANCAIS ECR.; ;;8
0316653129;001;FRANCAIS ECR.; ;;10
0316653131;001;FRANCAIS ECR.; ;;4
0316653139;001;FRANCAIS ECR.; ;;8
0316653142;001;FRANCAIS ECR.; ;;11
0316653162;001;FRANCAIS ECR.; ;;6
0316653173;001;FRANCAIS ECR.; ;;10
0316653211;001;FRANCAIS ECR.; ;;11
0316653214;001;FRANCAIS ECR.; ;;8
0316653283;001;FRANCAIS ECR.; ;;5
0316653296;001;FRANCAIS ECR.; ;;10
0316653361;001;FRANCAIS ECR.; ;;8
0316653390;001;FRANCAIS ECR.; ;;5
0316653427;001;FRANCAIS ECR.; ;;7
0316653518;001;FRANCAIS ECR.; ;;7
0316653874;001;FRANCAIS ECR.; ;;11
0316653996;001;FRANCAIS ECR.; ;;6
0316654014;001;FRANCAIS ECR.; ;;7
0316654068;001;FRANCAIS ECR.; ;;7
0316654089;001;FRANCAIS ECR.; ;;8
0316654100;001;FRANCAIS ECR.; ;;7
0316654213;001;FRANCAIS ECR.; ;;9
0316654231;001;FRANCAIS ECR.; ;;14
0316654259;001;FRANCAIS ECR.; ;;9
0316654284;001;FRANCAIS ECR.; ;;8
0316654317;001;FRANCAIS ECR.; ;;6
0316654332;001;FRANCAIS ECR.; ;;10
0316654536;001;FRANCAIS ECR.; ;;7
0316654537;001;FRANCAIS ECR.; ;;10
0316654585;001;FRANCAIS ECR.; ;;12
0316654592;001;FRANCAIS ECR.; ;;8
0316654688;001;FRANCAIS ECR.; ;;11
0316654732;001;FRANCAIS ECR.; ;;11
0316654755;001;FRANCAIS ECR.; ;;13
0316655068;001;FRANCAIS ECR.; ;;12
0316655192;001;FRANCAIS ECR.; ;;7
0316655218;001;FRANCAIS ECR.; ;;8
0316655233;001;FRANCAIS ECR.; ;;11
0316655834;001;FRANCAIS ECR.; ;;7
0316655854;001;FRANCAIS ECR.; ;;8
0316655913;001;FRANCAIS ECR.; ;;7
0316656102;001;FRANCAIS ECR.; ;;7
0316656172;001;FRANCAIS ECR.; ;;11
0316656234;001;FRANCAIS ECR.; ;;10
0316656540;001;FRANCAIS ECR.; ;;8
0316656571;001;FRANCAIS ECR.; ;;8
0316656625;001;FRANCAIS ECR.; ;;5
0316656711;001;FRANCAIS ECR.; ;;7
0316656880;001;FRANCAIS ECR.; ;;8
0316657011;001;FRANCAIS ECR.; ;;5
0316657176;001;FRANCAIS ECR.; ;;8
0316657218;001;FRANCAIS ECR.; ;;6
0316657226;001;FRANCAIS ECR.; ;;8
0316657678;001;FRANCAIS ECR.; ;;8
0316657731;001;FRANCAIS ECR.; ;;9
0316657840;001;FRANCAIS ECR.; ;;9
0316658020;001;FRANCAIS ECR.; ;;7
0316658551;001;FRANCAIS ECR.; ;;6
0316658641;001;FRANCAIS ECR.; ;;7
0316658678;001;FRANCAIS ECR.; ;;6
0316658679;001;FRANCAIS ECR.; ;;6
0316658722;001;FRANCAIS ECR.; ;;7
0316659083;001;FRANCAIS ECR.; ;;8
0316659136;001;FRANCAIS ECR.; ;;8
